Meal	Name	Brand	Amount	Quantity
Before breakfast	water	any	500ml	n/a
Breakfast	Scottish oats	Tesco	48g	n/a
Breakfast	whole milk	Co-op	200ml	n/a
Breakfast	egg	any	n/a	3
Breakfast	mature cheddar slice	Tesco	n/a	2
Mid-morning	watermelon	Tesco	300g	n/a
Mid-morning	water	any	500ml	n/a
Lunch	canned wild pink salmon	Co-op	213g	1
Lunch	water	any	500ml	n/a
Pre-workout	Gala apple	any	100g	2
Pre-workout	date	Madinah Delight	12g	2
Pre-workout	whey protein	Gold Standard	32g	1
Pre-workout	water	any	500ml	n/a
During workout	water	any	1l	n/a
Post-workout	whey protein	Gold Standard	32g	1
Post-workout	water	any	500ml	n/a
Dinner	British beef quarter pounder	Tesco	114g	1
Dinner	brown basmati rice	Sainsbury's	116g	n/a
Dinner	mediterranean style veg	Tesco	200g	n/a
Dinner	date	Madinah Delight	12g	2
Dinner	water	any	500ml	n/a
