Name	Brand	Amount	kcal	Protein	Carbs	Fat	Fiber
anabolic booster	CEL Anabolic Effect	by quantity	0	0	0	0	0
anabolic booster	CEL Epi-Plex	by quantity	0	0	0	0	0
B12	any	per μg	0	0	0	0	0
BCAA	any	n/a	0	0	0	0	0
boiled egg	any	by quantity	60.5	5.5	0.7	3.8	0.3
British beef quarter pounder	Tesco	114g	240	20	4.3	15.9	0
brown basmati rice	Sainsbury's	per g	1.33	0.032	0.276	0.012	0.009
canned wild pink salmon	Co-op	213g	326	50	0	14	0
canned wild pink salmon	Tesco	212g	293	50	0	10	0
chicken breast	Tesco	per g	1.06	0.24	0	0.011	0
creatine	any	per g	0	0	0	0	0
date	Hadiklaim	8g	26	0.14	6	0	0.4
date	Madinah Delight	12g	34	0.3	9	0	1
Gala apple	any	100g	54	0.6	11	0.5	1.3
HMB	any	per g	0	0	0	0	0
hummus	Eastman's	per g	2.24	0.056	0.123	0.161	0.037
mature cheddar slice	Tesco	by quantity	104	6.4	0.1	8.7	0
mediterranean style veg	Tesco	per g	0.4	0.015	0.0475	0.01	0.027
mixed vegetable	Co-op	per g	0.41	0.027	0.044	0.007	0.029
multivitamins	any	n/a	0	0	0	0	0
omega-3	any	n/a	0	0	0	0	0
salmon	Tesco	130g	272	33	0	15.6	0
salted caramel chocolate	Wicked Kitchen	per g	5.59	0.024	0.599	0.341	0.017
Scottish oats	Tesco	per g	3.63	0.13	0.65	0.07	0.083
scrambled egg	any	by quantity	75	6.3	0.3	5.2	0.3
testosterone booster	CEL M-Test	by quantity	0	0	0	0	0
water	any	per ml	0	0	0	0	0
watermelon	Tesco	per g	0.33	0.004	0.069	0.003	0.005
whey protein	Gold Standard	32g	119	24	2.2	1.5	0.8
whole milk	Co-op	per ml	0.66	0.035	0.047	0.037	0
wholegrain basmati rice	Tilda	per g	1.29	0.028	0.233	0.021	0.03
