Workout	Exercise	Reps	Weight
chest, shoulders, triceps and abs	flat chest dumbbells	12	44
chest, shoulders, triceps and abs	flat chest dumbbells	12	52
chest, shoulders, triceps and abs	flat chest dumbbells	6	56
chest, shoulders, triceps and abs	flat chest dumbbells	3	60
chest, shoulders, triceps and abs	incline chest dumbbells	12	40
chest, shoulders, triceps and abs	incline chest dumbbells	11	44
chest, shoulders, triceps and abs	incline chest dumbbells	7	48
chest, shoulders, triceps and abs	incline chest dumbbells	6	52
chest, shoulders, triceps and abs	dumbbell flys	12	36
chest, shoulders, triceps and abs	dumbbell flys	10	40
chest, shoulders, triceps and abs	shoulder press	12	28
chest, shoulders, triceps and abs	shoulder press	10	32
chest, shoulders, triceps and abs	shoulder press	6	36
chest, shoulders, triceps and abs	shoulder press	6	36
chest, shoulders, triceps and abs	close grip dumbbell press	10	36
chest, shoulders, triceps and abs	close grip dumbbell press	9	40
chest, shoulders, triceps and abs	close grip dumbbell press	6	44
chest, shoulders, triceps and abs	skull crushers	12	25
chest, shoulders, triceps and abs	skull crushers	10	30
chest, shoulders, triceps and abs	skull crushers	6	32.5
chest, shoulders, triceps and abs	tricep push downs	12	36
chest, shoulders, triceps and abs	tricep push downs	12	41
chest, shoulders, triceps and abs	hanging leg raise	10	n/a
chest, shoulders, triceps and abs	hanging leg raise	10	n/a
chest, shoulders, triceps and abs	hanging leg raise	10	n/a
chest, shoulders, triceps and abs	hanging leg raise	10	n/a
